field,year,point,start_depth,end_depth,lon,lat,dry_weight,soc,bd
ICG-Field-3,2020,29,0,12,-88.029342,39.9299907,251.5,2.22,1.3279
ICG-Field-3,2020,8,0,12,-88.030865,39.9300672,187.3,1.93,1.2641
ICG-Field-3,2020,4,0,12,-88.032036,39.9301469,224,2.94,1.2446
ICG-Field-3,2020,30,0,12,-88.033089,39.9301375,189.1,2.77,1.2892
ICG-Field-3,2020,25,0,12,-88.033555,39.9299532,223.5,2.56,1.2951
ICG-Field-3,2020,11,0,12,-88.034956,39.9297605,204.7,2.66,1.2577
ICG-Field-3,2020,31,0,12,-88.036247,39.9300193,162.5,3.03,1.257
ICG-Field-3,2020,32,0,12,-88.0373,39.9300098,217.8,2.11,1.3465
ICG-Field-3,2020,20,0,12,-88.037393,39.9283873,221.1,2.12,1.3262
ICG-Field-3,2020,16,0,12,-88.036575,39.9284847,235.6,2.34,1.3336
ICG-Field-3,2020,23,0,12,-88.034594,39.929043,227.8,2.18,1.3877
ICG-Field-3,2020,17,0,12,-88.032957,39.9291477,202.6,2.02,1.265
ICG-Field-3,2020,24,0,12,-88.032723,39.9291497,213,2.32,1.2494
ICG-Field-3,2020,26,0,12,-88.032262,39.9296043,229.5,2.39,1.2534
ICG-Field-3,2020,7,0,12,-88.031089,39.9294346,180.9,2.24,1.2516
ICG-Field-3,2020,13,0,12,-88.029799,39.9292658,248.6,1.9,1.3287
ICG-Field-3,2020,22,0,12,-88.032254,39.9290638,207.3,2.57,1.265
ICG-Field-3,2020,21,0,12,-88.032952,39.9287873,255.1,2.87,1.2553
ICG-Field-3,2020,3,0,12,-88.033421,39.9288732,183.9,2.53,1.2677
ICG-Field-3,2020,10,0,12,-88.036801,39.9279421,220.4,1.54,1.3874
ICG-Field-3,2020,15,0,12,-88.0368,39.927852,195.9,1.75,1.3874
ICG-Field-3,2020,14,0,12,-88.037262,39.9274875,270.2,2.09,1.3413
ICG-Field-3,2020,19,0,12,-88.03668,39.9276729,241.8,1.89,1.3479
ICG-Field-3,2020,12,0,12,-88.034922,39.9275084,253.5,2.33,1.2625
ICG-Field-3,2020,6,0,12,-88.033985,39.9274267,178.9,2.11,1.3418
ICG-Field-3,2020,5,0,12,-88.03248,39.9285212,193.6,1.86,1.3785
ICG-Field-3,2020,9,0,12,-88.03224,39.928163,209.7,1.82,1.3785
ICG-Field-3,2020,2,0,12,-88.031654,39.9280781,244.4,1.73,1.3367
ICG-Field-3,2020,27,0,12,-88.031308,39.9284416,219.5,2.15,1.3925
ICG-Field-3,2020,1,0,12,-88.029318,39.9283692,220.8,1.91,1.3545
ICG-Field-3,2020,28,0,12,-88.02932,39.9285493,180.1,1.65,1.3545
ICG-Field-3,2020,18,0,12,-88.028867,39.9295444,279.4,1.9,1.3369
ICG-Field-4,2020,16,0,12,-88.026827,39.9255861,167.3,2.48,1.3253
ICG-Field-4,2020,6,0,12,-88.026125,39.9255923,196.3,3.07,1.3377
ICG-Field-4,2020,1,0,12,-88.02554,39.9255975,293.4,1.93,1.3355
ICG-Field-4,2020,20,0,12,-88.02355,39.925525,234.6,2.32,1.3834
ICG-Field-4,2020,21,0,12,-88.023199,39.9255281,213.9,1.98,1.3834
ICG-Field-4,2020,17,0,12,-88.023085,39.9257093,201.1,2.46,1.2738
ICG-Field-4,2020,12,0,12,-88.022849,39.9256213,223.7,2.11,1.2565
ICG-Field-4,2020,18,0,12,-88.021798,39.9257206,192.3,1.94,1.2394
ICG-Field-4,2020,8,0,12,-88.020976,39.9255477,173.8,2.68,1.249
ICG-Field-4,2020,3,0,12,-88.019689,39.925559,268.7,2.84,1.2592
ICG-Field-4,2020,11,0,12,-88.019927,39.9258272,200.2,2.12,1.2556
ICG-Field-4,2020,14,0,12,-88.019819,39.9264588,199.5,2.07,1.2701
ICG-Field-4,2020,10,0,12,-88.020866,39.9259991,182.2,2.45,1.2462
ICG-Field-4,2020,7,0,12,-88.020985,39.9261783,222.9,2.13,1.2359
ICG-Field-4,2020,9,0,12,-88.02157,39.9261731,131.7,2.72,1.2467
ICG-Field-4,2020,5,0,12,-88.022157,39.9262581,219.4,1.82,1.2444
ICG-Field-4,2020,15,0,12,-88.024495,39.9261473,186.4,2.49,1.2489
ICG-Field-4,2020,19,0,12,-88.024607,39.925786,188.1,2.32,1.245
ICG-Field-4,2020,4,0,12,-88.024725,39.925875,212.7,2.72,1.3249
ICG-Field-4,2020,2,0,12,-88.025076,39.9258719,169.7,2.59,1.3344
ICG-Field-4,2020,22,0,12,-88.026018,39.926224,197,2.46,1.2552
ICG-Field-4,2020,13,0,12,-88.026365,39.9259506,231.8,2.56,1.3323
ICG-Field-2,2020,22,0,12,-88.02753,39.9274895,175,2.55,1.2626
ICG-Field-2,2020,30,0,12,-88.027781,39.9286585,141.4,2.22,1.2733
ICG-Field-2,2020,7,0,12,-88.026965,39.9288459,149,3.17,1.2555
ICG-Field-2,2020,4,0,12,-88.026852,39.9291172,196.7,3.09,1.2695
ICG-Field-2,2020,5,0,12,-88.026978,39.9297468,223.9,3.34,1.1502
ICG-Field-2,2020,15,0,12,-88.026391,39.9295718,145.6,2.75,1.1502
ICG-Field-2,2020,16,0,12,-88.02638,39.9288511,181.2,2.66,1.3911
ICG-Field-2,2020,1,0,12,-88.026491,39.9284897,199,2.51,1.3413
ICG-Field-2,2020,19,0,12,-88.026011,39.9276831,273.5,2.22,1.3889
ICG-Field-2,2020,8,0,12,-88.026356,39.9272296,198.1,1.94,1.3205
ICG-Field-2,2020,23,0,12,-88.025886,39.9271437,230.6,2.21,1.3473
ICG-Field-2,2020,28,0,12,-88.024602,39.9273352,149.3,2.44,1.3333
ICG-Field-2,2020,29,0,12,-88.023551,39.9275247,203,2.64,1.2598
ICG-Field-2,2020,12,0,12,-88.023094,39.9282495,191.2,2.45,1.2511
ICG-Field-2,2020,13,0,12,-88.022861,39.9283416,189.2,2.25,1.2809
ICG-Field-2,2020,27,0,12,-88.023218,39.9286989,235,2.73,1.262
ICG-Field-2,2020,20,0,12,-88.022877,39.9294227,183.2,2.14,1.2614
ICG-Field-2,2020,11,0,12,-88.023464,39.9295076,269.2,2.01,1.2522
ICG-Field-2,2020,6,0,12,-88.023818,39.9296846,203.3,2.39,1.2412
ICG-Field-2,2020,26,0,12,-88.024174,39.9300419,225.4,2.13,1.2528
ICG-Field-2,2020,21,0,12,-88.024643,39.9301278,207.5,1.98,1.2616
ICG-Field-2,2020,18,0,12,-88.021834,39.9300625,206.8,2.01,1.3807
ICG-Field-2,2020,17,0,12,-88.020073,39.9297177,232,2.21,1.3406
ICG-Field-2,2020,14,0,12,-88.019834,39.9293594,239.6,2.39,1.274
ICG-Field-2,2020,25,0,12,-88.019944,39.9289079,276.1,1.99,1.271
ICG-Field-2,2020,3,0,12,-88.019819,39.9283684,161,2.48,1.2769
ICG-Field-2,2020,10,0,12,-88.019461,39.9279211,192.6,2.35,1.2569
ICG-Field-2,2020,2,0,12,-88.020399,39.9280029,210.2,1.89,1.2484
ICG-Field-2,2020,9,0,12,-88.020278,39.9277337,256.3,1.47,1.2798
ICG-Field-2,2020,24,0,12,-88.020387,39.9271922,194.6,2.01,1.2481
ICG-Field-1,2020,8,0,12,-88.027419,39.9247033,224.8,2.19,1.3131
ICG-Field-1,2020,20,0,12,-88.027412,39.9242528,284.8,2.06,1.3625
ICG-Field-1,2020,7,0,12,-88.027407,39.9238925,255.2,2.07,1.3834
ICG-Field-1,2020,10,0,12,-88.027403,39.9236223,185.5,1.93,1.3758
ICG-Field-1,2020,18,0,12,-88.025769,39.923907,230.5,1.48,1.3725
ICG-Field-1,2020,21,0,12,-88.025415,39.9237299,206.7,1.58,1.3519
ICG-Field-1,2020,22,0,12,-88.025063,39.923643,207.6,2.22,1.3519
ICG-Field-1,2020,16,0,12,-88.02448,39.9238283,156.5,2.62,1.3237
ICG-Field-1,2020,17,0,12,-88.023425,39.9236574,171,2.61,1.3342
ICG-Field-1,2020,11,0,12,-88.022138,39.9236688,253.1,1.9,1.3776
ICG-Field-1,2020,5,0,12,-88.020029,39.9235072,181.3,2.1,1.2456
ICG-Field-1,2020,3,0,12,-88.020038,39.9241378,224.3,2.85,1.247
ICG-Field-1,2020,6,0,12,-88.01946,39.9245933,175.1,2.84,1.2688
ICG-Field-1,2020,1,0,12,-88.020976,39.9242196,233.6,2.45,1.2493
ICG-Field-1,2020,2,0,12,-88.021208,39.9241275,171.6,2.24,1.2536
ICG-Field-1,2020,4,0,12,-88.0218,39.9245727,240.3,1.74,1.2456
ICG-Field-1,2020,9,0,12,-88.022852,39.9244734,198.6,1.94,1.3844
ICG-Field-1,2020,19,0,12,-88.023203,39.9244703,247.6,2.06,1.2789
ICG-Field-1,2020,13,0,12,-88.02308,39.924111,265.1,1.87,1.3827
ICG-Field-1,2020,12,0,12,-88.024956,39.9243647,203.7,1.61,1.3918
ICG-Field-1,2020,14,0,12,-88.025079,39.924724,228.8,2.17,1.3884
ICG-Field-1,2020,15,0,12,-88.025658,39.9243585,251.3,2.19,1.3419
ICG-Field-6,2020,18,0,12,-89.580875,39.3566189,259,1.77,1.3282
ICG-Field-6,2020,20,0,12,-89.582299,39.3574882,161.3,1.67,1.3305
ICG-Field-6,2020,5,0,12,-89.583247,39.3580077,209.6,1.12,1.2619
ICG-Field-6,2020,13,0,12,-89.583138,39.3581903,208,0.67,1.3781
ICG-Field-6,2020,4,0,12,-89.584426,39.358522,193.2,1.27,1.3928
ICG-Field-6,2020,12,0,12,-89.585261,39.3591341,218,1.7,1.4298
ICG-Field-6,2020,1,0,12,-89.585245,39.358684,219.1,1.35,1.3929
ICG-Field-6,2020,17,0,12,-89.584165,39.357717,183.3,1.58,1.3236
ICG-Field-6,2020,10,0,12,-89.583234,39.3576476,194,1.69,1.3348
ICG-Field-6,2020,9,0,12,-89.582637,39.3572104,172.2,1.98,1.3395
ICG-Field-6,2020,8,0,12,-89.582982,39.3571127,187.8,1.74,1.3349
ICG-Field-6,2020,14,0,12,-89.58379,39.3570046,221.4,1.52,1.31
ICG-Field-6,2020,7,0,12,-89.58486,39.3577016,198.9,1.49,1.3432
ICG-Field-6,2020,19,0,12,-89.585089,39.3576064,205.1,1.26,1.3432
ICG-Field-6,2020,16,0,12,-89.585443,39.3577787,175.4,1.37,1.3165
ICG-Field-6,2020,2,0,12,-89.585921,39.3581284,182.6,1.27,1.2724
ICG-Field-6,2020,3,0,12,-89.585553,39.3575961,199.4,1.31,1.2704
ICG-Field-6,2020,22,0,12,-89.586007,39.3573157,213.1,1.76,1.3284
ICG-Field-6,2020,15,0,12,-89.585523,39.3567859,159,1.44,1.3338
ICG-Field-6,2020,11,0,12,-89.584466,39.3564491,187.2,1.73,1.3213
ICG-Field-6,2020,21,0,12,-89.584244,39.3567243,178.4,1.86,1.3412
ICG-Field-6,2020,6,0,12,-89.582031,39.3565031,148.9,1.97,1.3416
ICG-Field-5,2020,4,0,12,-89.574697,39.3629799,202.6,1.47,1.3293
ICG-Field-5,2020,10,0,12,-89.575042,39.3628822,296.9,1.77,1.2858
ICG-Field-5,2020,3,0,12,-89.574551,39.3621723,237.3,1.52,1.2888
ICG-Field-5,2020,13,0,12,-89.574541,39.3619023,230.1,1.66,1.2873
ICG-Field-5,2020,14,0,12,-89.57419,39.3618199,202.3,1.46,1.2871
ICG-Field-5,2020,20,0,12,-89.574177,39.3614599,192.4,1.63,1.2886
ICG-Field-5,2020,11,0,12,-89.573822,39.3612875,184.6,1.56,1.2847
ICG-Field-5,2020,21,0,12,-89.574141,39.3604697,191.7,1.95,1.2837
ICG-Field-5,2020,18,0,12,-89.575058,39.3601791,199.3,1.85,1.2962
ICG-Field-5,2020,9,0,12,-89.575191,39.3606266,175.9,1.54,1.2773
ICG-Field-5,2020,15,0,12,-89.576109,39.360336,178.1,1.7,1.2879
ICG-Field-5,2020,17,0,12,-89.576698,39.3605932,211.3,1.52,1.3189
ICG-Field-5,2020,12,0,12,-89.577275,39.3604904,232.2,1.05,1.294
ICG-Field-5,2020,7,0,12,-89.57696,39.3613982,202.1,1.59,1.3365
ICG-Field-5,2020,5,0,12,-89.576012,39.3608787,192.2,1.71,1.3386
ICG-Field-5,2020,2,0,12,-89.576254,39.3611436,167.1,1.73,1.3286
ICG-Field-5,2020,8,0,12,-89.576036,39.3615088,163.3,1.68,1.3376
ICG-Field-5,2020,19,0,12,-89.575949,39.3623215,214.4,1.66,1.2242
ICG-Field-5,2020,22,0,12,-89.577109,39.3622958,189.7,1.52,1.2298
ICG-Field-5,2020,16,0,12,-89.577579,39.3624656,223.3,1.61,1.2854
ICG-Field-5,2020,6,0,12,-89.577719,39.3630931,179.2,1.62,1.2866
ICG-Field-5,2020,1,0,12,-89.577248,39.3629234,176,1.53,1.2845
ICG-Field-7,2020,7,0,12,-88.372252,39.9827866,220.5,1.92,1.3502
ICG-Field-7,2020,23,0,12,-88.372971,39.9835889,164.9,1.6,1.3459
ICG-Field-7,2020,25,0,12,-88.372407,39.9846767,201.9,2.14,1.3495
ICG-Field-7,2020,30,0,12,-88.372544,39.9856661,270.2,1.59,1.349
ICG-Field-7,2020,17,0,12,-88.372807,39.9871045,208,1.46,1.3536
ICG-Field-7,2020,21,0,12,-88.373045,39.9872819,277.4,1.79,1.3343
ICG-Field-7,2020,22,0,12,-88.373293,39.9879997,200.6,1.72,1.3043
ICG-Field-7,2020,6,0,12,-88.37214,39.9889142,223.2,2.25,1.3056
ICG-Field-7,2020,15,0,12,-88.371088,39.9890168,224.4,2.06,1.2864
ICG-Field-7,2020,31,0,12,-88.369085,39.9884098,184.5,2.06,1.272
ICG-Field-7,2020,3,0,12,-88.369548,39.9881341,170.7,1.76,1.2901
ICG-Field-7,2020,8,0,12,-88.370726,39.9884805,209.3,1.77,1.3505
ICG-Field-7,2020,19,0,12,-88.372012,39.9883752,232.5,2.03,1.2497
ICG-Field-7,2020,34,0,12,-88.372237,39.9879221,193.5,1.76,1.3454
ICG-Field-7,2020,32,0,12,-88.370477,39.9877627,253.6,1.86,1.3542
ICG-Field-7,2020,26,0,12,-88.369887,39.9874994,202.9,1.51,1.3569
ICG-Field-7,2020,9,0,12,-88.37047,39.9874024,217.9,1.46,1.376
ICG-Field-7,2020,2,0,12,-88.372102,39.9870227,204.2,1.81,1.3558
ICG-Field-7,2020,18,0,12,-88.370223,39.9867747,218.8,2.03,1.2831
ICG-Field-7,2020,5,0,12,-88.369993,39.9869576,251.4,2.2,1.284
ICG-Field-7,2020,13,0,12,-88.368815,39.9866111,209.6,1.74,1.3156
ICG-Field-7,2020,27,0,12,-88.371964,39.9859432,228.4,1.75,1.3579
ICG-Field-7,2020,4,0,12,-88.372182,39.9851298,163.5,2.17,1.2915
ICG-Field-7,2020,12,0,12,-88.371596,39.9851368,241.6,2.03,1.2895
ICG-Field-7,2020,29,0,12,-88.370658,39.9850578,196.3,1.51,1.3487
ICG-Field-7,2020,24,0,12,-88.369604,39.9850702,226.3,1.69,1.3541
ICG-Field-7,2020,1,0,12,-88.369831,39.9847072,213.3,1.86,1.2885
ICG-Field-7,2020,20,0,12,-88.370297,39.9846116,268,1.71,1.2768
ICG-Field-7,2020,28,0,12,-88.372266,39.9835071,223.7,1.81,1.3605
ICG-Field-7,2020,16,0,12,-88.371794,39.9833325,259.8,1.79,1.3538
ICG-Field-7,2020,33,0,12,-88.37027,39.9832605,271.2,1.82,1.2831
ICG-Field-7,2020,10,0,12,-88.369452,39.9833602,254.5,2.16,1.2717
ICG-Field-7,2020,14,0,12,-88.369903,39.982454,191.3,2.09,1.338
ICG-Field-7,2020,11,0,12,-88.370486,39.982357,272.7,1.85,1.3355
ICG-Field-10,2020,20,0,12,-88.160936,40.7209142,350.9,2.4,1.3114
ICG-Field-10,2020,10,0,12,-88.161181,40.7213622,293.6,2.35,1.3896
ICG-Field-10,2020,5,0,12,-88.161188,40.7218125,301.4,1.95,1.3311
ICG-Field-10,2020,21,0,12,-88.161663,40.7218978,281,2.48,1.3272
ICG-Field-10,2020,29,0,12,-88.160847,40.7226267,368.5,1.31,1.367
ICG-Field-10,2020,25,0,12,-88.161087,40.7228045,364.9,0.98,1.3576
ICG-Field-10,2020,9,0,12,-88.16145,40.7232513,307.8,2.57,1.3614
